epoch,train_loss,val_rmse
1,0.34604930598288774,3.789839029312134
2,0.34604930598288774,3.1967294216156006
3,0.34604930598288774,2.7301502227783203
4,0.34604930598288774,2.4841225147247314
5,0.34604930598288774,2.3361148834228516
6,0.34604930598288774,2.2465269565582275
7,0.34604930598288774,2.113734006881714
8,0.34604930598288774,2.068769931793213
9,0.34604930598288774,2.0109753608703613
10,0.34604930598288774,1.961945652961731
11,0.34604930598288774,1.9030706882476807
12,0.34604930598288774,1.8967914581298828
13,0.34604930598288774,1.8719580173492432
14,0.34604930598288774,1.841819167137146
15,0.34604930598288774,1.8441377878189087
16,0.34604930598288774,1.7922265529632568
17,0.34604930598288774,1.8101434707641602
18,0.34604930598288774,1.773873209953308
19,0.34604930598288774,1.7817851305007935
20,0.34604930598288774,1.7551454305648804
21,0.34604930598288774,1.7538143396377563
22,0.34604930598288774,1.7647103071212769
23,0.34604930598288774,1.7550568580627441
24,0.34604930598288774,1.7510288953781128
25,0.34604930598288774,1.6919047832489014
26,0.34604930598288774,1.758825421333313
27,0.34604930598288774,1.6831897497177124
28,0.34604930598288774,1.7026877403259277
29,0.34604930598288774,1.7017244100570679
30,0.34604930598288774,1.6540143489837646
31,0.34604930598288774,1.6387438774108887
32,0.34604930598288774,1.6544580459594727
33,0.34604930598288774,1.654025673866272
34,0.34604930598288774,1.661190390586853
35,0.34604930598288774,1.660414218902588
36,0.34604930598288774,1.6490505933761597
