epoch,train_loss,val_rmse
1,0.31732573034241796,3.5814356803894043
2,0.31732573034241796,2.7023627758026123
3,0.31732573034241796,2.4212541580200195
4,0.31732573034241796,2.2681386470794678
5,0.31732573034241796,2.1920039653778076
6,0.31732573034241796,2.099917411804199
7,0.31732573034241796,2.0580036640167236
8,0.31732573034241796,2.026906967163086
9,0.31732573034241796,1.9904423952102661
10,0.31732573034241796,1.9443269968032837
11,0.31732573034241796,1.9362616539001465
12,0.31732573034241796,1.9032576084136963
13,0.31732573034241796,1.8597975969314575
14,0.31732573034241796,1.8490891456604004
15,0.31732573034241796,1.831201434135437
16,0.31732573034241796,1.8151860237121582
17,0.31732573034241796,1.8200416564941406
18,0.31732573034241796,1.8107551336288452
19,0.31732573034241796,1.8112108707427979
20,0.31732573034241796,1.8095064163208008
21,0.31732573034241796,1.793662428855896
22,0.31732573034241796,1.7553985118865967
23,0.31732573034241796,1.7680115699768066
24,0.31732573034241796,1.7835465669631958
25,0.31732573034241796,1.7586439847946167
26,0.31732573034241796,1.7610193490982056
27,0.31732573034241796,1.7698962688446045
